linenum,price,livingArea,lat,lng,county,city,neighborhood,flatBuildingtype,flatFloorCount,numberOfRooms,bathrooms with toilet,toilets,buildingFloorPosition,url
2843,299.000,65,43.517126766843,16.439492367264,Splitsko-dalmatinska,Split,Sukoišan,U stambenoj zgradi,Jednoetažni,3-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/split-sukoisan-trosoban-stan-65-m2-1-kat-oglas-40239562
2844,185.000,37,43.29859094352294,17.018778444233682,Splitsko-dalmatinska,Makarska,Makarska,U stambenoj zgradi,Jednoetažni,1-sobni,1,,Prizemlje,https://www.njuskalo.hr/nekretnine/jednosoban-stan-makarska-37.00-m2-udaljenost-plaze-70m-oglas-42167237
2845,400.000,80,43.507535385537,16.471983098078,Splitsko-dalmatinska,Split,Trstenik,U stambenoj zgradi,Jednoetažni,2-sobni,2,,1.,https://www.njuskalo.hr/nekretnine/split-trstenik-luksuzan-dvosoban-stan-prodaja-oglas-40347482
2846,595.000,120,,,Splitsko-dalmatinska,Split,Grad,U stambenoj zgradi,Jednoetažni,4-sobni,4,,2.,https://www.njuskalo.hr/nekretnine/split-grad-cetiri-apartmanske-jedinice-prodaja-oglas-41925623
2847,320.000,70,43.502498322021,16.450868691879,Splitsko-dalmatinska,Split,Bačvice,U stambenoj zgradi,Jednoetažni,2-sobni,1,,2.,https://www.njuskalo.hr/nekretnine/split-bacvice-dvosobni-stan-prodaja-oglas-27170700
2848,125.000,36,43.513305199733,16.284608670984,Splitsko-dalmatinska,Trogir - Okolica,Mastrinka,U stambenoj zgradi,Jednoetažni,1-sobni,1,,Visoko potkrovlje,https://www.njuskalo.hr/nekretnine/prodaje-se-namjesten-stan-otvorenim-pogledom-more-ciovo-oglas-41631032
2849,345.000,80,43.515114648454,16.114527011185,Splitsko-dalmatinska,Marina,Marina,U stambenoj zgradi,Jednoetažni,3-sobni,2,1,Prizemlje,https://www.njuskalo.hr/nekretnine/elitni-trosoban-stan-prizemlje-luksuzne-zgrade-pogled-more-oglas-40959990
2850,385.500,107,43.515114648454,16.114527011185,Splitsko-dalmatinska,Marina,Marina,U stambenoj zgradi,Jednoetažni,3-sobni,2,1,1.,https://www.njuskalo.hr/nekretnine/stan-marina-107.00-m2-novogradnja-oglas-40959875
2851,390.000,119,43.515114648453505,16.11452701118543,Splitsko-dalmatinska,Marina,Marina,U stambenoj zgradi,Jednoetažni,3-sobni,2,1,1.,https://www.njuskalo.hr/nekretnine/prodaja-luksuzan-3-soban-stan-pogledom-more-marina-trogir-oglas-40948799
2852,160.000,65,,,Splitsko-dalmatinska,Okrug,Okrug Gornji,U stambenoj zgradi,Jednoetažni,2-sobni,,,Prizemlje,https://www.njuskalo.hr/nekretnine/dvosoban-stan-polozen-prizemlju-stambene-zgrade-okrug-gornji-oglas-40379518
2853,379.768,120,,,Splitsko-dalmatinska,Makarska,Makarska,U stambenoj zgradi,Jednoetažni,3-sobni,,,3.,https://www.njuskalo.hr/nekretnine/penthouse-otvorenim-pogledom-more-makarska-oglas-39636846
2854,330.000,76,,,Splitsko-dalmatinska,Split,Spinut,U stambenoj zgradi,Jednoetažni,3-sobni,1,,6.,https://www.njuskalo.hr/nekretnine/stan-predivnim-pogledom-more-split-spinut-76-m-oglas-40556935
2855,144.700,69,,,Splitsko-dalmatinska,Sinj,Sinj,U stambenoj zgradi,Jednoetažni,2-sobni,1,,4.,https://www.njuskalo.hr/nekretnine/dvosoban-stan-s15-novogradnja-sinj-centar-oglas-40550183
2856,176.000,78,,,Splitsko-dalmatinska,Sinj,Sinj,U stambenoj zgradi,Jednoetažni,3-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/trosoban-stan-s16-novogradnja-sinj-centar-oglas-40550173
2857,176.000,78,,,Splitsko-dalmatinska,Sinj,Sinj,U stambenoj zgradi,Jednoetažni,3-sobni,1,,2.,https://www.njuskalo.hr/nekretnine/trosoban-stan-s17-novogradnja-sinj-centar-oglas-40550172
2858,130.700,51,,,Splitsko-dalmatinska,Seget,Seget Donji,U stambenoj zgradi,Jednoetažni,1-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/stan-seget-donji-51.19-m2-prvi-kat-oglas-40542976
2859,248.000,80,,,Splitsko-dalmatinska,Makarska,Makarska,U stambenoj zgradi,Jednoetažni,2-sobni,1,,Prizemlje,https://www.njuskalo.hr/nekretnine/makarska-dvosoban-stan-prizemlju-top-lokaciji-novogradnja-oglas-41478599
2860,162.000,54,,,Splitsko-dalmatinska,Makarska,Makarska,U stambenoj zgradi,Jednoetažni,1-sobni,1,,Prizemlje,https://www.njuskalo.hr/nekretnine/makarska-jednosoban-stan-prizemlju-top-lokaciji-novogradnja-oglas-41478597
2861,222.000,75,,,Splitsko-dalmatinska,Trogir,Trogir,U kući,Jednoetažni,3-sobni,,,2.,https://www.njuskalo.hr/nekretnine/komforan-dvosoban-stan-staroj-gradskoj-jezgri-trogir-oglas-40315573
2862,222.000,74,,,Splitsko-dalmatinska,Trogir,Trogir,U kući,Jednoetažni,3-sobni,,,2.,https://www.njuskalo.hr/nekretnine/komforan-dvosoban-stan-kamenoj-kuci-trogir-oglas-40315572
2863,195.774,66,,,Splitsko-dalmatinska,Makarska,Makarska,U stambenoj zgradi,Jednoetažni,2-sobni,,,1.,https://www.njuskalo.hr/nekretnine/dvosoban-stan-pogledom-more-makarska-oglas-39618257
2864,260.000,75,,,Splitsko-dalmatinska,Split,Plokite,U stambenoj zgradi,Jednoetažni,3-sobni,,,3.,https://www.njuskalo.hr/nekretnine/dvosoban-komforan-stan-juznom-lodom-split-plokite-oglas-38155008
2865,140.000,110,,,Splitsko-dalmatinska,Trogir,Trogir,U kući,Jednoetažni,2-sobni,,,Prizemlje,https://www.njuskalo.hr/nekretnine/prizemlje-obiteljske-kuce-dvosoban-stan-terasom-garsonijera-vrt-oglas-37559351
2866,228.000,76,,,Splitsko-dalmatinska,Makarska,Makarska,U stambenoj zgradi,Jednoetažni,2-sobni,1,,Prizemlje,https://www.njuskalo.hr/nekretnine/makarska-dvosoban-stan-prizemlju-top-lokaciji-novogradnja-oglas-41478598
2867,227.200,71,,,Splitsko-dalmatinska,Makarska,Makarska,U stambenoj zgradi,Jednoetažni,2-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/makarska-dvosoban-stan-1-katu-top-lokaciji-novogradnja-oglas-41478596
2868,165.000,55,,,Splitsko-dalmatinska,Makarska,Makarska,U stambenoj zgradi,Jednoetažni,1-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/makarska-jednosoban-stan-1-katu-top-lokaciji-novogradnja-oglas-41478595
2869,234.300,71,,,Splitsko-dalmatinska,Makarska,Makarska,U stambenoj zgradi,Jednoetažni,2-sobni,1,,2.,https://www.njuskalo.hr/nekretnine/makarska-dvosoban-stan-2-katu-top-lokaciji-novogradnja-oglas-41478594
2870,171.100,59,,,Splitsko-dalmatinska,Makarska,Makarska,U stambenoj zgradi,Jednoetažni,1-sobni,1,,2.,https://www.njuskalo.hr/nekretnine/makarska-jednosoban-stan-2-katu-top-lokaciji-novogradnja-oglas-41478593
2871,176.000,55,,,Splitsko-dalmatinska,Makarska,Makarska,U stambenoj zgradi,Jednoetažni,1-sobni,1,,2.,https://www.njuskalo.hr/nekretnine/makarska-jednosoban-stan-2-katu-top-lokaciji-novogradnja-oglas-41478592
2872,176.000,55,,,Splitsko-dalmatinska,Makarska,Makarska,U stambenoj zgradi,Jednoetažni,1-sobni,,,3.,https://www.njuskalo.hr/nekretnine/makarska-jednosoban-stan-3-katu-top-lokaciji-novogradnja-oglas-41478591
2873,272.064,85,,,Splitsko-dalmatinska,Podstrana,Podstrana,U kući,Jednoetažni,2-sobni,1,,Prizemlje,https://www.njuskalo.hr/nekretnine/podstrana-dvosoban-stan-prizemlju-top-lokaciji-novogradnja-b-oglas-41471112
2874,253.376,79,,,Splitsko-dalmatinska,Podstrana,Podstrana,U kući,Jednoetažni,2-sobni,1,,Prizemlje,https://www.njuskalo.hr/nekretnine/podstrana-dvosoban-stan-prizemlju-top-lokaciji-novogradnja-a-oglas-41471111
2875,221.824,69,,,Splitsko-dalmatinska,Podstrana,Podstrana,U kući,Jednoetažni,2-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/podstrana-dvosoban-stan-1-katu-top-lokaciji-novogradnja-b-oglas-41471110
2876,183.552,57,,,Splitsko-dalmatinska,Podstrana,Podstrana,U kući,Jednoetažni,1-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/podstrana-jednosoban-stan-1-katu-top-lokaciji-novogradnja-a-oglas-41471109
2877,219.000,67,,,Splitsko-dalmatinska,Split - Okolica,Stobreč,U stambenoj zgradi,Jednoetažni,2-sobni,,,Visoko prizemlje,https://www.njuskalo.hr/nekretnine/dvosoban-stan-lodom-vrtom-stobrec-oglas-40507183
2878,212.000,106,,,Splitsko-dalmatinska,Solin,Sr. Strana,U stambenoj zgradi,Jednoetažni,2-sobni,,,3.,https://www.njuskalo.hr/nekretnine/komforan-dvosoban-suncan-stan-juznim-balkonom-oglas-40124953
2879,195.000,65,,,Splitsko-dalmatinska,Split,Brda,U stambenoj zgradi,Jednoetažni,5+ sobni,,,1.,https://www.njuskalo.hr/nekretnine/ekskluzivna-prodaja-trosoban-suncan-stan-juznim-balkonom-split-oglas-39696437
2880,750.000,120,,,Splitsko-dalmatinska,Split,Meje,U stambenoj zgradi,Jednoetažni,2-sobni,,,2.,https://www.njuskalo.hr/nekretnine/luksuzno-opremljen-komforan-dvosoban-stan-pogledom-more-split-oglas-36529322
2881,170.000,70,,,Splitsko-dalmatinska,Split - Okolica,Slatine,U kući,Jednoetažni,3-sobni,,,Prizemlje,https://www.njuskalo.hr/nekretnine/ekskluzivna-prodaja-dvosoban-stan-jacuzzijem-pogledom-more-oglas-41785064
2882,240.000,100,,,Splitsko-dalmatinska,Split - Okolica,Slatine,U kući,Jednoetažni,3-sobni,,,1.,https://www.njuskalo.hr/nekretnine/ekskluzivna-prodaja-dvosoban-stan-bazenom-jacuzzijem-pogledom-oglas-41785063
2883,185.000,75,,,Splitsko-dalmatinska,Trogir,Trogir,U kući,Jednoetažni,2-sobni,,,1.,https://www.njuskalo.hr/nekretnine/dvosoban-stan-djelomicnim-pogledom-more-garazom-trogir-oglas-40250623
2884,170.000,70,,,Splitsko-dalmatinska,Split - Okolica,Slatine,U kući,Jednoetažni,2-sobni,,,2.,https://www.njuskalo.hr/nekretnine/ekskluzivna-prodaja-dvosoban-stan-lodom-otvorenim-pogledom-mo-oglas-41785062
2885,520.000,100,,,Splitsko-dalmatinska,Split,Grad,U stambenoj zgradi,Jednoetažni,3-sobni,,,3.,https://www.njuskalo.hr/nekretnine/komforan-trosoban-stan-pun-svjetlosti-rekonstrukciju-split-star-oglas-41785061
2886,180.000,75,,,Splitsko-dalmatinska,Trogir,Trogir,U kući,Jednoetažni,2-sobni,,,3.,https://www.njuskalo.hr/nekretnine/dvosoban-stan-juznom-lodom-otvorenim-pogledom-more-trogir-oglas-39037581
2887,220.000,110,,,Splitsko-dalmatinska,Trogir,Travarica,U kući,Jednoetažni,2-sobni,,,1.,https://www.njuskalo.hr/nekretnine/dvosoban-komforan-stan-terasom-vrtom-garazom-trogir-oglas-38757266
2888,330.000,64,43.507320236438,16.43721192666,Splitsko-dalmatinska,Split,Grad,U stambenoj zgradi,Jednoetažni,2-sobni,2,,3.,https://www.njuskalo.hr/nekretnine/stan-split-62.00-m2-prodaja-centar-grada-oglas-41482426
2889,170.000,88,43.262300192523,17.109414276,Splitsko-dalmatinska,Podgora,Podgora,U kući,Jednoetažni,2-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/stan-podgora-88.00-m2-oglas-41315395
2890,3.000,71,43.301693372454,17.017951332027,Splitsko-dalmatinska,Makarska,Makarska,U stambenoj zgradi,Jednoetažni,2-sobni,1,1,Visoko prizemlje,https://www.njuskalo.hr/nekretnine/dvosoban-stan-makarska-71.67-m2-novogradnja-oglas-40280728
2891,1,43,43.300639966918,17.013321672337,Splitsko-dalmatinska,Makarska,Makarska,U stambenoj zgradi,Jednoetažni,1-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/jednosoban-stan-makarska-43.84-m2-novogradnja-oglas-40427640
2892,200.000,57,43.51598535783476,16.43520579415269,Splitsko-dalmatinska,Split,Skalice,U stambenoj zgradi,Jednoetažni,2-sobni,1,,4.,https://www.njuskalo.hr/nekretnine/ekskluzivno-preporuka-agencije-dvosoban-stan-blizini-centra-oglas-42148959
2893,280.000,74,43.50940345704999,16.47762815111907,Splitsko-dalmatinska,Split,Mertojak,U stambenoj zgradi,Jednoetažni,2-sobni,1,,10.,https://www.njuskalo.hr/nekretnine/dvosobni-mertojak-split-74.00-m2-oglas-42146976
2894,199.000,48,43.515629006182,16.466714076416,Splitsko-dalmatinska,Split,Sućidar,U stambenoj zgradi,Jednoetažni,1-sobni,1,,,https://www.njuskalo.hr/nekretnine/stan-split-42.00-m2-oglas-41620737
2895,165.000,79,43.512696849808,16.490854672141,Splitsko-dalmatinska,Split,Dragovode,U stambenoj zgradi,Jednoetažni,1-sobni,1,,3.,https://www.njuskalo.hr/nekretnine/stan-split-dragovode-penthouse-79.00-m2-oglas-41328394
2896,150.000,36,43.512696849808,16.490854672141,Splitsko-dalmatinska,Split,Dragovode,U stambenoj zgradi,Jednoetažni,1-sobni,1,,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-split-36.00-m2-novogradnja-oglas-41328173
2897,345.000,73,43.508173452264,16.441937050141,Splitsko-dalmatinska,Split,Grad,U stambenoj zgradi,Jednoetažni,2-sobni,1,,Visoko prizemlje,https://www.njuskalo.hr/nekretnine/split-centar-73.00-m2-idealno-turizam-odvjetnicki-ured-ordinaciju-oglas-40267362
2898,204.000,73,43.501110459470155,16.53736120723264,Splitsko-dalmatinska,Podstrana,Strožanac,U stambenoj zgradi,Jednoetažni,2-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/stan-strozanac-novogradnja-oglas-41234637
2899,220.000,106,43.513435113402004,16.47501660742552,Splitsko-dalmatinska,Split,Visoka,U stambenoj zgradi,Jednoetažni,2-sobni,1,,2.,https://www.njuskalo.hr/nekretnine/stan-split-106.00-m2-oglas-39839007
2900,175.000,105,43.51269684980817,16.490854672141186,Splitsko-dalmatinska,Split,Dragovode,U stambenoj zgradi,Jednoetažni,1-sobni,1,,3.,https://www.njuskalo.hr/nekretnine/stan-split-105.00-m2-oglas-41328498
2901,200.000,61,,,Splitsko-dalmatinska,Solin,Japirko,U stambenoj zgradi,Jednoetažni,3-sobni,1,,4.,https://www.njuskalo.hr/nekretnine/stan-solin-japirko-61.60-m2-prodaja-oglas-41676633
2902,285.240,70,,,Splitsko-dalmatinska,Podstrana,Podstrana,U stambenoj zgradi,Jednoetažni,3-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/stan-podstrana-70.00-m2-prodaja-oglas-41917674
2903,295.190,70,,,Splitsko-dalmatinska,Podstrana,Podstrana,U stambenoj zgradi,Jednoetažni,3-sobni,1,,Prizemlje,https://www.njuskalo.hr/nekretnine/stan-podstrana-70.00-m2-prodaja-oglas-41917675
2904,249.000,90,,,Splitsko-dalmatinska,Solin,Japirko,U stambenoj zgradi,Jednoetažni,4-sobni,1,1,2.,https://www.njuskalo.hr/nekretnine/trosoban-solin-oglas-41925793
2905,420.000,75,43.293771639377354,17.020730433382596,Splitsko-dalmatinska,Makarska,Makarska,U stambenoj zgradi,Jednoetažni,2-sobni,1,,,https://www.njuskalo.hr/nekretnine/strogi-centar-makarska-dvosoban-stan-oglas-42163690
2906,177.000,47,43.1075186,17.3424264,Splitsko-dalmatinska,Gradac,Drvenik,U stambenoj zgradi,Jednoetažni,1-sobni,1,,3.,https://www.njuskalo.hr/nekretnine/jednosoban-stan-novogradnji-drvenik-oglas-40428532
2907,234.483,76,43.2937769,17.0215239,Splitsko-dalmatinska,Makarska,Makarska,U stambenoj zgradi,Jednoetažni,3-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/prostran-trosobni-stan-makarska-oglas-41518429
2908,228.420,78,43.2937769,17.0215239,Splitsko-dalmatinska,Makarska,Makarska,U stambenoj zgradi,Jednoetažni,2-sobni,1,1,Prizemlje,https://www.njuskalo.hr/nekretnine/dvosoban-stan-vrtom-makarska-oglas-41509160
2909,250.560,55,43.4433559,16.6929175,Splitsko-dalmatinska,Omiš,Stanići,U stambenoj zgradi,Jednoetažni,1-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/jednosoban-stan-blizu-mora-okolica-omisa-oglas-41534031
2910,94.000,26,43.29903393325809,17.01909271168349,Splitsko-dalmatinska,Makarska,Makarska,U stambenoj zgradi,Višeetažni,Garsonijera,1,,3.,https://www.njuskalo.hr/nekretnine/apartman-kao-investiranje-oglas-41472755
2911,281.900,62,43.18835103658981,17.163366568979967,Splitsko-dalmatinska,Podgora,Živogošće,U stambenoj zgradi,Višeetažni,2-sobni,1,,,https://www.njuskalo.hr/nekretnine/stan-zivogosce-62.00-m2-novogradnja-oglas-41351889
2912,225.000,70,43.481168837279,16.55815598011,Splitsko-dalmatinska,Podstrana,Podstrana,U stambenoj zgradi,Jednoetažni,2-sobni,,,3.,https://www.njuskalo.hr/nekretnine/podstrana-dvosoban-ureden-stan-pogledom-more-oglas-41783645
2913,700.000,65,43.508774966313,16.439223265815,Splitsko-dalmatinska,Split,Grad,U stambenoj zgradi,Jednoetažni,2-sobni,,,2.,https://www.njuskalo.hr/nekretnine/split-grad-dva-luksuzna-studio-apartmana-dikolecijanovoj-palaci-oglas-41526107
2914,318.850,63,43.2395606,17.0782267,Splitsko-dalmatinska,Podgora,Podgora,U stambenoj zgradi,Jednoetažni,2-sobni,,,1.,https://www.njuskalo.hr/nekretnine/podgora-makarska-apartman-povrsine-63.77-m2-pogledom-more-oglas-41684757
2915,210.000,60,43.510258124607,16.258166902917,Splitsko-dalmatinska,Trogir,Čiovo,U stambenoj zgradi,Jednoetažni,2-sobni,,,1.,https://www.njuskalo.hr/nekretnine/trogir-dvosoban-stan-prvom-katu-novogradnje-nkp-60-74-m2-oglas-41684755
2916,225.000,65,43.510258124607,16.258166902917,Splitsko-dalmatinska,Trogir,Čiovo,U stambenoj zgradi,Jednoetažni,2-sobni,,,Visoko prizemlje,https://www.njuskalo.hr/nekretnine/trogir-jednosoban-stan-pogledom-more-garaznim-mjestom-nkp-65-oglas-41684821
2917,160.165,64,43.55485844531,16.351612170314,Splitsko-dalmatinska,Kaštela,Kaštel Stari,U stambenoj zgradi,Jednoetažni,1-sobni,,,1.,https://www.njuskalo.hr/nekretnine/kastela-dvosoban-komforan-stan-1-kat-70.14m2-oglas-41684768
2918,327.200,65,43.2395606,17.0782267,Splitsko-dalmatinska,Podgora,Podgora,U stambenoj zgradi,Jednoetažni,2-sobni,,,3.,https://www.njuskalo.hr/nekretnine/podgora-makarska-apartman-povrsine-65.44-m2-pogledom-more-oglas-41684752
2919,166.170,66,43.55485844531,16.351612170314,Splitsko-dalmatinska,Kaštela,Kaštel Stari,U stambenoj zgradi,Jednoetažni,1-sobni,,,1.,https://www.njuskalo.hr/nekretnine/kastela-dvosoban-komforan-stan-1-kat-73.76m2-pogled-more-oglas-41684739
2920,240.000,69,43.510258124607,16.258166902917,Splitsko-dalmatinska,Trogir,Čiovo,U stambenoj zgradi,Jednoetažni,2-sobni,,,1.,https://www.njuskalo.hr/nekretnine/trogir-dvosoban-stan-pogledom-more-garaznim-mjestom-nkp-69-40-oglas-41684728
2921,180.640,45,43.299281761171294,17.019200909165423,Splitsko-dalmatinska,Makarska,Makarska,U stambenoj zgradi,Jednoetažni,1-sobni,1,,,https://www.njuskalo.hr/nekretnine/prekrasan-jednosoban-stan-bazenom-novogradnji-oglas-42161243
2922,259.900,105,43.554609633649,16.352298815395,Splitsko-dalmatinska,Kaštela,Kaštel Stari,U stambenoj zgradi,Jednoetažni,1-sobni,,,2.,https://www.njuskalo.hr/nekretnine/kastela-trosoban-stan-terasom-povrsine-131-m2-pogled-more-oglas-41684804
2923,180.000,100,43.30142801604334,17.01839098677829,Splitsko-dalmatinska,Makarska,Makarska,U stambenoj zgradi,Jednoetažni,2-sobni,,,,https://www.njuskalo.hr/nekretnine/prostran-dvosoban-stan-vrtom-neposredna-blizina-centra-oglas-42161037
2924,235.000,76,,,Splitsko-dalmatinska,Podstrana,Podstrana,U stambenoj zgradi,Jednoetažni,2-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/podstrana-dvosoban-stan-terasa-76-m2-bez-agencijeke-provizije-oglas-41624239
2925,265.500,64,43.300030933406,17.016343546001,Splitsko-dalmatinska,Makarska,Makarska,U stambenoj zgradi,Jednoetažni,3-sobni,1,,3.,https://www.njuskalo.hr/nekretnine/dvosoban-stan-istoku-makarske-pogledom-more-oglas-40787762
2926,250.000,65,43.299249511843,17.016627947289,Splitsko-dalmatinska,Makarska,Makarska,U stambenoj zgradi,Jednoetažni,3-sobni,,,2.,https://www.njuskalo.hr/nekretnine/makarska-luksuzan-stan-pogledom-more-oglas-40739479
2927,172.000,54,,,Splitsko-dalmatinska,Seget,Seget Donji,U stambenoj zgradi,Jednoetažni,3-sobni,,,1.,https://www.njuskalo.hr/nekretnine/trogir-okolica-stan-prvom-katu-dvije-spavace-sobe-novogradnji-oglas-41090927
2928,179.000,54,,,Splitsko-dalmatinska,Seget,Seget Donji,U stambenoj zgradi,Jednoetažni,3-sobni,,,2.,https://www.njuskalo.hr/nekretnine/trogir-okolica-stan-drugom-katu-dvije-spavace-sobe-novogradnji-oglas-41090923
2929,150.000,43,,,Splitsko-dalmatinska,Seget,Seget Donji,U stambenoj zgradi,Jednoetažni,3-sobni,,,2.,https://www.njuskalo.hr/nekretnine/trogir-okolica-stan-drugom-katu-dvije-spavace-sobe-novogradnji-oglas-41090922
2930,165.500,60,43.491815483636,16.263952596307,Splitsko-dalmatinska,Okrug,Okrug Gornji,U stambenoj zgradi,Jednoetažni,1-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/ciovo-stanovi-izgradnji-vrtom-bazenom-oglas-41298805
2931,171.300,64,43.495420841072054,16.26260603634512,Splitsko-dalmatinska,Okrug,Okrug Gornji,U stambenoj zgradi,Jednoetažni,1-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/ciovo-stanovi-bazenom-krovnom-terasom-izgradnji-oglas-41298723
2932,179.000,55,43.49147668044703,16.548375004287134,Splitsko-dalmatinska,Podstrana,Podstrana,U stambenoj zgradi,Jednoetažni,2-sobni,1,,1.,https://www.njuskalo.hr/nekretnine/split-area-luksuzni-stanovi-novogradnji-oglas-40993191
2933,395.000,120,43.364748511983,16.968339564941,Splitsko-dalmatinska,Baška Voda,Baška Voda,U kući,Jednoetažni,2-sobni,,,2.,https://www.njuskalo.hr/nekretnine/cetiri-apartmana-pogledom-more-baska-voda-oglas-41925865
2934,390.000,91,,,Splitsko-dalmatinska,Split,Split 3,U stambenoj zgradi,Jednoetažni,3-sobni,,,6.,https://www.njuskalo.hr/nekretnine/trosoban-stan-juzne-orijentacije-split-split-3-91-m2-oglas-41924866
2935,3.100,72,43.30301978757038,17.016605428619215,Splitsko-dalmatinska,Makarska,Makarska,U stambenoj zgradi,Jednoetažni,3-sobni,2,,,https://www.njuskalo.hr/nekretnine/novogradnja-makarska-trosobni-stanovi-oglas-42157523
2936,3.000,62,43.30414202284058,17.01299246275815,Splitsko-dalmatinska,Makarska,Makarska,U stambenoj zgradi,Jednoetažni,2-sobni,2,,,https://www.njuskalo.hr/nekretnine/novogradnja-makarska-dvosobni-stanovi-oglas-42157318
2937,185.000,68,43.381806012112975,16.549750999312494,Splitsko-dalmatinska,Supetar,Supetar,U stambenoj zgradi,Jednoetažni,2-sobni,1,,2.,https://www.njuskalo.hr/nekretnine/stan-supetar-70.00-m2-oglas-40517204
2938,3.000,41,43.304142022841,17.012992462758,Splitsko-dalmatinska,Makarska,Makarska,U stambenoj zgradi,Jednoetažni,1-sobni,1,,,https://www.njuskalo.hr/nekretnine/novogradnja-makarska-jednosobni-stanovi-oglas-42156783
2939,320.000,173,43.49752105368,16.585127677621,Splitsko-dalmatinska,Split - Okolica,Srinjine,U kući,Jednoetažni,3-sobni,2,2,2.,https://www.njuskalo.hr/nekretnine/srinjine-trosoban-renoviran-novoureden-stan-parkingom-173m2-oglas-42129000
2940,169.000,77,43.52186822329577,16.46997043916608,Splitsko-dalmatinska,Split,Brda,U stambenoj zgradi,Jednoetažni,4-sobni,2,2,Prizemlje,https://www.njuskalo.hr/nekretnine/ekskluzivno-trosoban-stan-brda-prizemlje-stambena-zgrada-77m2-oglas-41788850
2941,370.000,65,43.510754916351,16.461940734556,Splitsko-dalmatinska,Split,Lokve,U stambenoj zgradi,Jednoetažni,2-sobni,1,1,2.,https://www.njuskalo.hr/nekretnine/lokve-dvosoban-stan-adaptaciju-65.00-m2-oglas-40351168
2942,316.050,63,43.4617173,16.5989466,Splitsko-dalmatinska,Dugi Rat,Jesenice,U stambenoj zgradi,Jednoetažni,2-sobni,,,3.,https://www.njuskalo.hr/nekretnine/jesenice-dvosoban-stan-izgradnji-pogledom-more-s29-oglas-42154452
2943,242.100,53,43.4617173,16.5989466,Splitsko-dalmatinska,Dugi Rat,Jesenice,U stambenoj zgradi,Jednoetažni,2-sobni,,,3.,https://www.njuskalo.hr/nekretnine/jesenice-dvosoban-stan-izgradnji-s24-oglas-42154450
2944,260.000,68,43.5185548,16.469328,Splitsko-dalmatinska,Split,Kocunar,U stambenoj zgradi,Jednoetažni,2-sobni,,,3.,https://www.njuskalo.hr/nekretnine/split-kocunar-komforan-dvosoban-stan-idealan-obiteljski-suzivot-oglas-42154420
2945,316.050,63,43.4617173,16.5989466,Splitsko-dalmatinska,Dugi Rat,Jesenice,U stambenoj zgradi,Jednoetažni,2-sobni,,,3.,https://www.njuskalo.hr/nekretnine/jesenice-atraktivan-dvosoban-stan-izgradnji-otvorenim-pogledom-oglas-42154415
2946,242.100,53,43.4617173,16.5989466,Splitsko-dalmatinska,Dugi Rat,Jesenice,U stambenoj zgradi,Jednoetažni,2-sobni,,,3.,https://www.njuskalo.hr/nekretnine/jesenice-dvosoban-stan-izgradnji-orijentacija-istok-s25-oglas-42154414
2947,249.000,96,43.561064016851,16.387044808951,Splitsko-dalmatinska,Kaštela,Kaštel Kambelovac,U kući,Jednoetažni,4-sobni,1,2,1.,https://www.njuskalo.hr/nekretnine/novouredeni-stan-k-kambelovcu-oglas-42154220
2948,330.000,114,,,Splitsko-dalmatinska,Okrug,Okrug Gornji,U stambenoj zgradi,Jednoetažni,2-sobni,1,,2.,https://www.njuskalo.hr/nekretnine/penthouse-krovnom-terasom-pogledom-more-okrug-gornji-114.70-m-oglas-42153909
2949,350.000,146,,,Splitsko-dalmatinska,Okrug,Okrug Gornji,U stambenoj zgradi,Jednoetažni,3-sobni,2,,2.,https://www.njuskalo.hr/nekretnine/penthouse-krovnom-terasom-okrug-gornji-145.00-m-oglas-42153908
2950,500.565,147,,,Splitsko-dalmatinska,Kaštela,Kaštel Kambelovac,U stambenoj zgradi,Jednoetažni,3-sobni,2,,2.,https://www.njuskalo.hr/nekretnine/ekskluzivna-prodaja-luksuzne-novogradnje-k-kambelovac-oglas-42153506
2951,398.802,115,,,Splitsko-dalmatinska,Kaštela,Kaštel Kambelovac,U stambenoj zgradi,Jednoetažni,3-sobni,2,,Prizemlje,https://www.njuskalo.hr/nekretnine/ekskluzivna-prodaja-luksuzne-novogradnje-k-kambelovac-oglas-42153504
2952,245.000,73,,,Splitsko-dalmatinska,Split,Kman,U stambenoj zgradi,Jednoetažni,2-sobni,1,1,1.,https://www.njuskalo.hr/nekretnine/split-kman-centar-velebitska-veliko-dvosoban-stan-oglas-42153503
